id_product,name_product,description
camera-ip-360-do-2mp-tp-link-tapo-c200c,Camera IP 360 Độ 2MP TP-Link Tapo C200C,"Bảo vệ ngôi nhà của bạn một cách toàn diện với camera IP 360 Độ 2MP TP-Link Tapo C200C. Với thiết kế nhỏ gọn, độ phân giải cao và góc nhìn rộng, chiếc camera này sẽ mang đến cho bạn hình ảnh sắc nét giúp bạn quan sát mọi ngóc ngách trong nhà một cách dễ dàng. Camera thiết kế tinh tế, trang nhã, phù hợp mọi không gian Camera sở hữu thiết kế tròn trĩnh, nhỏ gọn, mang đến sự tinh tế và sang trọng cho không gian lắp đặt. Gam màu trắng tươi sáng tạo cảm giác hiện đại và thẩm mỹ cao, dễ dàng hòa hợp với mọi phong cách nội thất. Điểm đặc biệt của chiếc camera này chính là phần chân đế phẳng giúp bạn dễ dàng lắp đặt ở nhiều vị trí khác nhau như mặt bàn, kệ sách, sàn nhà,... Nhờ vậy, bạn có thể linh hoạt lựa chọn vị trí lắp đặt phù hợp nhất để tối ưu hóa hiệu quả quan sát. Xem thêm"
camera-ip-360-do-3mp-imou-ta32cp-l-trang,Camera IP 360 Độ 3MP IMOU TA32CP-L,"Camera IP 360 Độ 3MP IMOU TA32CP-L là một sản phẩm công nghệ tiên tiến, được thiết kế đặc biệt để đáp ứng nhu cầu giám sát an ninh hiện đại. Với khả năng quay toàn bộ không gian lên đến 360 độ, camera này cho phép bạn giám sát mọi góc độ của ngôi nhà hoặc văn phòng một cách dễ dàng và chính xác. Màu sắc thanh lịch cùng vẻ ngoài nhỏ gọn Vẻ ngoài của camera IP 360 Độ 3MP IMOU TA32CP-L là một sự kết hợp hoàn hảo giữa thiết kế và màu trắng thanh lịch. Đồng thời với kích thước thon gọn, camera này dễ dàng lắp đặt ở bất kỳ vị trí nào trong không gian mà bạn muốn giám sát. Xem thêm"
camera-ip-360-do-1080p-ezviz-c6n-trang,Camera IP 360 Độ 2MP Ezviz C6N,"Camera IP 360 Độ 2MP Ezviz C6N nổi bật với khả năng quan sát toàn cảnh, góc xoay ngang lên tới 360 độ cùng các tiện ích quan sát và báo động hiện đại, hứa hẹn cùng bạn bảo vệ tối ưu cho không gian sống trong nhà. Thiết kế tối giản, lắp đặt dễ dàng Sở hữu thiết kế tối giản, có thể lắp trần hoặc để bàn, tiện lợi giám sát các góc trong nhà. Phần vỏ ngoài cứng cáp giúp bảo vệ linh kiện bên trong, gia tăng sự bền bỉ và cho thời gian sử dụng lâu dài. Camera trang bị sẵn hàng loạt các phụ kiện nhỏ hỗ trợ lắp đặt như: đinh vít, bộ nguồn, đế gắn tường, mẫu khoan, sách hướng dẫn sử dụng,... Xem thêm"
camera-ip-360-do-2mp-tiandy-tc-h322n,Camera IP 360 Độ 2MP TIANDY TC-H322N,"Camera IP 360 Độ 2MP TIANDY TC-H322N là một sản phẩm camera thông minh với khả năng quan sát toàn cảnh không gian trong nhà cùng độ phân giải cao và nhiều tính năng tiện ích khác, hứa hẹn đây sẽ là trợ thủ đắc lực giúp bạn bảo vệ cho ngôi nhà của mình. Thiết kế nhỏ gọn, kiểu dáng đơn giản Về thiết kế bên ngoài, camera có kiểu dáng nhỏ gọn, đơn giản nhưng không kém phần sang trọng, đẹp mắt. Với hình dạng như quả trứng, cùng các đường bo cong mềm mại, phù hợp lắp đặt cho mọi không gian trong nhà. Về chất liệu, camera được làm từ nhựa nhám cứng cáp, vừa đảm bảo tính thẩm mỹ vừa chống bám dính bụi bẩn trong quá trình sử dụng. Mình đã sử dụng một thời gian nhưng nhìn camera vẫn luôn sạch sẽ, như mới. Xem thêm"
camera-ip-360-do-3mp-ezviz-ty1,Camera IP 360 Độ 3MP EZVIZ TY1,"Camera IP 360 Độ 3MP EZVIZ TY1 với khả năng quay quét toàn diện và các tính năng hiện đại như theo dõi thông minh, tầm nhìn ban đêm rõ nét,... sẽ giúp bạn luôn an tâm về sự an toàn của không gian sống và làm việc của mình. Xem mọi thứ rõ nét và không có điểm mù Với độ phân giải 3 MP, camera giám sát EZVIZ mang đến chất lượng hình ảnh sắc nét và chi tiết hơn so với các dòng camera 2 MP thông thường. Hình ảnh rõ ràng và chi tiết hơn giúp bạn dễ dàng quan sát những chi tiết nhỏ nhất, từ đó tăng cường khả năng giám sát và bảo vệ ngôi nhà của mình. Camera này được trang bị khả năng xoay ngang 340 độ và xoay dọc 55 độ, mang lại tầm quan sát toàn diện 360 độ, bao quát mọi khu vực mà không bỏ sót bất kỳ chi tiết nào trong không gian, giúp bạn luôn có cái nhìn toàn diện, dù là ở những vị trí khó tiếp cận hay khuất tầm nhìn, camera TY1 sẽ không bỏ lỡ bất kỳ chuyển động nào. Xem thêm"
camera-ip-360-do-3mp-ezviz-c60p-dual,Camera IP 360 Độ 3MP Ezviz C60P Dual,"Camera IP 360 Độ 3MP Ezviz C60P Dual là một camera giám sát trong nhà tiên tiến, cung cấp khả năng giám sát toàn diện với chất lượng hình ảnh sắc nét và nhiều tính năng thông minh. Với thiết kế độc đáo hai ống kính, C60P Dual mang đến trải nghiệm giám sát vượt trội, đảm bảo an ninh tối đa cho ngôi nhà của bạn. Nhỏ gọn và tinh tế từng chi tiết Chiếc camera EZVIZ này sở hữu thiết kế hiện đại và tinh tế, với tông màu trắng trang nhã, dễ dàng hòa nhập vào mọi không gian nội thất. Điểm nhấn đặc biệt của camera là hai ống kính được bố trí song song trên thân máy, tạo nên vẻ ngoài độc đáo và khác biệt. Thiết kế này không chỉ mang tính thẩm mỹ cao mà còn tối ưu hóa khả năng quan sát, giúp camera bao quát toàn diện không gian xung quanh. Xem thêm"
camera-ip-360-do-1080p-tp-link-tapo-tc70-trang,Camera IP 360 Độ 2MP TP-Link Tapo TC70,"Camera giám sát bao quát tốt không gian với góc quay ngang 360 độ và dọc 114 độ TP-Link Tapo TC70 giúp người sử dụng nắm bắt tốt mọi diễn biến xung quanh khu vực quan sát, góc quan sát rộng mang đến dữ liệu quan sát giá trị, đồng thời giảm đầu tư cho việc lắp đặt nhiều camera trong 1 khu vực cần giám sát. Xem thêm"
camera-ip-360-do-3mp-imou-ranger-rc-gk2cp-3c0wr,Camera IP 360 Độ 3MP IMOU RANGER RC GK2CP-3C0WR,"Camera IP 360 Độ 3MP IMOU RANGER RC GK2CP-3C0WR có kiểu dáng nhỏ gọn, thiết kế đẹp mắt kết hợp nhiều tiện ích thông minh như cuộc gọi 1 chạm, theo dõi thông minh, đàm thoại 2 chiều,... đây chắc hẳn là món phụ kiện cần thiết dành cho gia đình bạn. Thiết kế nhỏ gọn, dễ dàng lắp đặt Camera có thiết kế nhỏ nhắn với khối lượng cực gọn nhẹ chỉ 171 g, sở hữu gam màu trắng sang trọng phù hợp lắp đặt cho mọi không gian trong nhà như phòng khách, phòng ngủ, phòng bếp,... Trang bị lớp vỏ cứng cáp hạn chế bám bụi bẩn hiệu quả, giữ cho thiết bị luôn sạch sẽ, bền bỉ với thời gian. Camera có nhiệt độ hoạt động từ - 10 độ C đến 45 độ C, độ ẩm dưới 95% RH, cho người dùng thoải mái sử dụng thiết bị trong hầu hết mọi điều kiện thời tiết. Xem thêm"
camera-ip-360-do-3mp-tiandy-tc-h332n,Camera IP 360 Độ 3MP TIANDY TC-H332N,"Camera IP 360 Độ 3MP TIANDY TC-H332N là camera thông minh có khả năng quan sát toàn cảnh không gian trong nhà ở chất lượng hiển thị sắc nét, hỗ trợ ghi hình có màu vào ban đêm, cùng nhiều tính năng theo dõi và cảnh báo khác, đây sẽ là món phụ kiện cần thiết để bảo vệ cho ngôi nhà của bạn. Thiết kế nhỏ gọn, màu sắc sang trọng Camera được thiết kế tối giản với tông màu trắng sang trọng, tối giản không gian sống cho chủ nhà. Khối lượng camera chỉ 220 g, kích thước nhỏ gọn có thể cầm vừa tay, phù hợp gắn lên tường, trần nhà, bàn,... Xem thêm"
camera-ip-360-do-3mp-365-selection-c1,Camera IP 360 Độ 3MP 365 Selection C1,"Camera IP 360 Độ 3MP 365 Selection C1 là một sản phẩm công nghệ tiên tiến, được thiết kế nhỏ gọn nhưng tích hợp đầy đủ các tính năng thông minh giúp bạn bảo vệ an ninh gia đình một cách toàn diện. Với thiết kế đẹp mắt và kiểu dáng hiện đại, camera này không chỉ là một thiết bị an ninh mà còn là một phần không thể thiếu trong không gian sống của bạn. Độ phân giải cao 3 MP, quan sát toàn cảnh Camera 365 Selection sở hữu độ phân giải 3 MP, mang lại hình ảnh sắc nét và sống động. Từ những chi tiết nhỏ nhất như biểu cảm khuôn mặt hay chuyển động của vật thể đều được ghi lại một cách sắc nét. Bạn có thể dễ dàng theo dõi toàn bộ ngôi nhà hay văn phòng, đảm bảo mọi chi tiết quan trọng đều được ghi lại mà không bị bỏ sót. Camera trở thành công cụ giám sát đáng tin cậy, mang lại sự an tâm khi bạn không có mặt tại nhà. Xem thêm"
