id_product,name_product,description
cap-type-c-type-c-2m-xmobile-dr-t11?utm_flashsale=1,Cáp Type C - Type C 2m Xmobile DR-T11,"Cáp Type C - Type C 2m Xmobile DR-T11 hỗ trợ sạc nhanh giúp rút ngắn đáng kể thời gian chờ đợi, mang đến sự tiện lợi tối đa cho người dùng. Thiết kế nhỏ gọn, dễ dàng mang theo bên mình, cáp sạc sẽ là người bạn đồng hành tin cậy trong mọi chuyến đi. • Với công suất tối đa 60W, cáp sạc này không chỉ sạc nhanh cho điện thoại mà còn tương thích với nhiều thiết bị khác như laptop, tablet, loa Bluetooth,... Bạn có thể thoải mái sử dụng một chiếc cáp duy nhất cho mọi thiết bị giúp tiết kiệm không gian và giảm bớt sự lộn xộn bên trong balo. • Thiết kế tối giản, màu sắc hiện đại và chất liệu cao cấp tạo nên vẻ ngoài sang trọng và tinh tế cho chiếc cáp Xmobile này. Phần đầu cắm được gia công tỉ mỉ, đảm bảo kết nối ổn định và truyền năng lượng hiệu quả. Xem thêm"
sac-xe-hoi-type-c-pd-30w-baseus-tiny-star-mini-vchxxc,Sạc xe hơi Baseus VCHXXC,"Trong cuộc sống hiện đại, việc sở hữu một thiết bị sạc nhanh, an toàn và tiện lợi trên xe hơi là vô cùng cần thiết. Sạc xe hơi Type C PD 30W Baseus Tiny Star Mini VCHXXC sẽ là một giải pháp hoàn hảo để bạn luôn giữ các thiết bị của mình đầy pin trên mọi hành trình. Sản phẩm này nổi bật với công nghệ sạc tiên tiến, thiết kế nhỏ gọn và khả năng tương thích với nhiều thiết bị khác nhau. Thiết kế siêu nhỏ gọn, đậm chất công nghệ Ấn tượng đầu tiên về adapter sạc này chính là thiết kế hình trụ nhỏ gọn, với kích thước chỉ 5.9 cm chiều dài và 2 cm đường kính. Thiết kế này không chỉ giúp tiết kiệm không gian trong xe mà còn mang lại vẻ ngoài tinh tế và hiện đại. Xem thêm"
adapter-chuyen-doi-usb-c-6-in-1-ugreen-60384,Adapter chuyển đổi USB C 6 in 1 Ugreen 60384,"Adapter chuyển đổi USB C 6 in 1 Ugreen 60384 mang đến giải pháp mở rộng kết nối hoàn hảo, biến cổng USB-C trên thiết bị của bạn thành tâm điểm cho mọi nhu cầu ngoại vi. Thiết kế nhỏ gọn, tiện lợi cùng khả năng kết nối đa dạng sẽ là người bạn đồng hành lý tưởng cho công việc của bạn. • Hub chuyển đổi tương thích với hầu hết các mẫu laptop và máy tính bảng sử dụng cổng Type C. Bạn chỉ cần cắm vào thiết bị và sử dụng ngay, không cần cài đặt phức tạp, mang đến cho bạn trải nghiệm kết nối tiện lợi và hiệu quả. • Hub chuyển đổi Ugreen được trang bị 6 đầu ra đa dạng giúp bạn dễ dàng kết nối với nhiều thiết bị khác nhau gồm 2 cổng USB 3.0, 1 khe đọc thẻ nhớ SD, 1 khe đọc thẻ nhớ microSD, 1 cổng HDMI và 1 cổng Type C. Xem thêm"
adapter-sac-3-cong-usb-type-c-iq4-gan-120w-anker-a2148,Sạc 3 cổng Anker A2148,"Adapter sạc 3 cổng USB Type C IQ4 GaN 120W Anker A2148 là lựa chọn lý tưởng cho những ai cần sạc nhanh chóng và tiện lợi. Với thiết kế nhỏ gọn, bạn có thể dễ dàng mang theo adapter này đi khắp mọi nơi. Đặc biệt, công suất sạc lên đến 120W đảm bảo các thiết bị của bạn sẽ được nạp đầy pin một cách cực kỳ nhanh chóng. • Adapter sạc Anker A2148 sở hữu thiết kế đầy tinh tế với gam màu đen hiện đại, dễ dàng hòa hợp với mọi không gian. Kích thước nhỏ gọn tối ưu giúp bạn dễ dàng mang theo bên mình mà không chiếm nhiều diện tích. Đặc biệt, phần chấu sạc có thể gập lại là một điểm cộng lớn, không chỉ giúp bảo vệ chấu sạc tốt hơn mà còn tăng tính di động, thuận tiện cho việc cất giữ. • Tuy có kích thước nhỏ gọn nhưng chiếc adapter này vẫn được trang bị 2 cổng Type C và 1 cổng USB, cho phép bạn sạc cùng lúc 3 thiết bị một cách dễ dàng và hiệu quả. Nhờ vậy, bạn không còn phải chờ đợi hay thay phiên sạc từng thiết bị, tiết kiệm đáng kể thời gian và tối ưu hóa trải nghiệm sử dụng. Xem thêm"
cap-type-c-1m-xmobile-dr-t10?utm_flashsale=1,Cáp Type C 1m Xmobile DR-T10,"Với cáp Type C 1m Xmobile DR-T10, việc sạc pin và truyền dữ liệu trở nên thật dễ dàng và nhanh chóng. Thiết kế sang trọng, hiện đại của cáp không chỉ làm đẹp cho không gian làm việc của bạn mà còn mang đến cảm giác thoải mái khi sử dụng. • Hỗ trợ công suất lên đến 15W, chiếc cáp sạc này tương thích với nhiều loại thiết bị như điện thoại, tai nghe Bluetooth, loa Bluetooth,... Nhờ đó, bạn không cần phải mang theo quá nhiều cáp sạc, tiết kiệm không gian trong balo của bạn. • Cáp sạc Xmobile có thiết kế tối giản, màu sắc hiện đại và chất liệu cao cấp tạo nên vẻ ngoài tinh tế, phù hợp với mọi phong cách. Phần đầu cắm được gia công tỉ mỉ, đảm bảo kết nối ổn định và bền bỉ theo thời gian. Xem thêm"
adapter-sac-type-c-pd-gan-30w-xmobile-ds051a?utm_flashsale=1,Sạc Xmobile DS051A,"Adapter sạc Type C PD GaN 30W Xmobile DS051A một phụ kiện sở hữu thiết kế tối giản và nhỏ gọn, phù hợp với lối sống năng động hiện nay. • Với kích thước chỉ 2.8 x 2.8 x 3.6 cm, sản phẩm dễ dàng đồng hành cùng bạn trong mọi chuyến đi, từ túi xách đến góc làm việc gọn gàng. • Được tích hợp công nghệ GaN tiên tiến, adapter sạc tối ưu hóa hiệu suất sạc trong khi vẫn giữ nhiệt độ ổn định hơn so với các loại sạc truyền thống. • Công nghệ Power Delivery giúp adapter sạc Xmobile cùng công suất sạc tối đa 30W, đáp ứng linh hoạt các nhu cầu sạc của bạn. Từ sạc nhanh điện thoại, máy tính bảng đến các thiết bị hỗ trợ cổng Type C khác. • Ngoài ra, adapter sạc 30W này cũng sở hữu chấu sạc có thể gấp gọn, đem lại sự tiện lợi khi mang theo củ sạc đi xa hoặc để trong nơi có không gian hẹp. Xem thêm"
adapter-sac-2-cong-usb-type-c-iq3-20w-anker-a2348,Sạc 2 cổng Anker A2348,"Adapter sạc 2 cổng USB Type C IQ3 20W Anker A2348 được thiết kế với khả năng cung cấp năng lượng đồng thời cho hai thiết bị. • Adapter sạc này được trang bị hai cổng kết nối: một cổng USB-A và một cổng Type-C. Sự hiện diện của cả hai cổng kết nối cho phép adapter tương thích với nhiều loại thiết bị khác nhau. • Về khả năng sạc, cổng USB của sản phẩm được thiết kế để cung cấp công suất tối đa 18W, trong khi cổng Type-C có thể đạt công suất tối đa 20W. • Kích thước nhỏ gọn của adapter sạc Anker sẽ mang đến tính di động cao và hạn chế chiếm dụng không gian cắm sạc trên ổ điện, ngay cả khi ổ điện có không gian hạn chế. • Công nghệ PowerIQ 3.0 được tích hợp trong adapter sạc 2 cổng này, giúp sản phẩm tập trung vào việc tối ưu tốc độ sạc cho từng thiết bị. Hơn nữa, hệ thống MultiProtect cũng được trang bị để bảo vệ thiết bị sạc và củ sạc tránh khỏi các nguy cơ tiềm ẩn như quá áp và quá dòng. Xem thêm"
cap-type-c-type-c-240w-1m-anker-zolo-a8060,Cáp Type C - Type C 1m Anker Zolo A8060,Không có mô tả
bo-de-sac-khong-day-3-in-1-15w-maggo-kem-cap-type-c-type-c-1-5m-anker-b2557,Sạc không dây 3 in 1 MagGo kèm Cáp Type C - Type C 1.5m Anker B2557,"Bộ Đế sạc không dây 3 in 1 15W MagGo kèm Cáp Type C - Type C 1.5m Anker B2557 là giải pháp toàn diện cho những ai sử dụng hệ sinh thái Apple. Với khả năng sạc nhanh tối đa 15W và hỗ trợ chuẩn Qi2, sản phẩm không chỉ đảm bảo tốc độ sạc ấn tượng mà còn tương thích hoàn hảo với MagSafe. • Khả năng sạc nhanh 15W của adapter sạc Anker này là một điểm nhấn nổi bật, giúp tối ưu hóa thời gian người dùng sạc thiết bị. Đế sạc còn hỗ trợ bạn sạc Apple Watch Series 9 lên đến 47% chỉ trong 30 phút, nhanh hơn so với các loại sạc thông thường. • Thiết kế gập siêu nhỏ gọn của sản phẩm là yếu tố chinh phục người dùng yêu thích sự linh hoạt. Với kích thước khi gập tương đương một bộ bài, adapter sạc này dễ dàng mang theo trong túi xách hoặc hành lý, biến sản phẩm thành lựa chọn lý tưởng cho những chuyến đi xa hoặc các buổi làm việc ngoài văn phòng. Xem thêm"
adapter-sac-3-cong-usb-type-c-iq4-gan-100w-anker-a2343,Sạc 3 cổng Anker A2343,"Adapter sạc đã trở thành một phần không thể thiếu trong cuộc sống hiện đại, giúp chúng ta duy trì năng lượng cho các thiết bị di động. Adapter Sạc 3 cổng USB Type C IQ4 GaN 100W Anker A2343 nổi bật như một giải pháp sạc nhanh, an toàn và vô cùng tiện lợi. Sản phẩm này hứa hẹn mang đến trải nghiệm sạc tối ưu cho mọi thiết bị của bạn. Thiết kế tối giản, nhỏ gọn Anker A2343 sở hữu thiết kế hình trụ nhỏ gọn, các góc cạnh bo tròn mềm mại, mang đến vẻ ngoài hiện đại và tinh tế. Với kích thước chỉ nhỏ gọn, bạn có thể dễ dàng mang theo adapter sạc này đi bất cứ đâu, từ văn phòng, quán cà phê đến những chuyến công tác xa nhà. Xem thêm"
