id_product,name_product,img
cap-type-c-type-c-2m-xmobile-dr-t11?utm_flashsale=1,Cáp Type C - Type C 2m Xmobile DR-T11,https://cdn.tgdd.vn/Products/Images/58/328421/cap-type-c-type-c-2m-xmobile-dr-t11-thumb-01-600x600.jpg
sac-xe-hoi-type-c-pd-30w-baseus-tiny-star-mini-vchxxc,Sạc xe hơi Baseus VCHXXC,https://cdn.tgdd.vn/Products/Images/9499/328141/sac-xe-hoi-type-c-pd-30w-baseus-tiny-star-mini-vchxxc-thumb-600x600.jpg
cap-type-c-type-c-0-9m-anker-322-a81f5,Cáp Type C - Type C 0.9m Anker 322 A81F5,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/58/312264/cap-type-c-type-c-0-9m-anker-322-a81f5-638679942417361075-600x600.jpg
adapter-chuyen-doi-usb-c-6-in-1-ugreen-60384,Adapter chuyển đổi USB C 6 in 1 Ugreen 60384,https://cdn.tgdd.vn/Products/Images/12979/327560/adapter-chuyen-doi-usb-c-6-in-1-ugreen-60384-thumb-600x600.jpg
adapter-sac-3-cong-usb-type-c-iq4-gan-120w-anker-a2148,Sạc 3 cổng Anker A2148,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/9499/336362/adapter-sac-3-cong-usb-type-c-iq4-gan-120w-anker-a2148-thumb-638791462578124738-600x600.jpg
cap-type-c-1m-xmobile-dr-t10?utm_flashsale=1,Cáp Type C 1m Xmobile DR-T10,https://cdn.tgdd.vn/Products/Images/58/328416/cap-type-c-1m-xmobile-dr-t10-thumb-600x600.jpg
adapter-sac-type-c-pd-gan-30w-xmobile-ds051a?utm_flashsale=1,Sạc Xmobile DS051A,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/9499/332244/adapter-sac-type-c-pd-gan-30w-xmobile-ds051a-thumb-638678179736343732-600x600.jpg
adapter-sac-2-cong-usb-type-c-iq3-20w-anker-a2348,Sạc 2 cổng Anker A2348,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/9499/330020/adapter-sac-2-cong-usb-type-c-iq3-20w-anker-a2348-thumb-638622777852209142-600x600.jpg
cap-type-c-type-c-240w-1m-anker-zolo-a8060,Cáp Type C - Type C 1m Anker Zolo A8060,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/58/336359/cap-type-c-type-c-240w-1m-anker-zolo-a8060-thumb-1-638797075791099256-600x600.jpg
bo-de-sac-khong-day-3-in-1-15w-maggo-kem-cap-type-c-type-c-1-5m-anker-b2557,Sạc không dây 3 in 1 MagGo kèm Cáp Type C - Type C 1.5m Anker B2557,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/9499/330029/bo-de-sac-khong-day-3-in-1-15w-maggo-kem-cap-type-c-type-c-1-5m-anker-b2557-thumb-638627733369391967-600x600.jpg
adapter-sac-3-cong-usb-type-c-iq4-gan-100w-anker-a2343,Sạc 3 cổng Anker A2343,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/9499/336361/adapter-sac-3-cong-usb-type-c-iq4-gan-100w-anker-a2343-thumb-638791425163857642-600x600.jpg
cap-thunderbolt-3-usb-c-0-8m-belkin-f2cd084,Cáp Thunderbolt 3 USB-C 0.8m Belkin F2CD084,https://cdn.tgdd.vn/Products/Images/58/327229/cap-thunderbolt-3-usb-c-0-8m-belkin-f2cd084-thumb-600x600.jpg
cap-type-c-1m-ava-cs-cl0862?utm_flashsale=1,Cáp Type C 1m AVA+ CS-CL0862,https://cdn.tgdd.vn/Products/Images/58/329594/cap-type-c-1m-ava-cs-cl0862-thumb-600x600.jpg
bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4511,Sạc Samsung kèm cáp Type C - Type C EP-T4511,https://cdn.tgdd.vn/Products/Images/9499/325099/bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4511xb-600x600.jpg
adapter-sac-type-c-pd-20w-xmobile-ds602a?utm_flashsale=1,Sạc Xmobile DS602A,https://cdn.tgdd.vn/Products/Images/9499/309742/adapter-sac-type-c-pd-20w-xmobile-ds602a-thumb-7-600x600.jpg
adapter-sac-12w-ava-plus-dc01?utm_flashsale=1,Sạc AVA+ DC01,https://cdn.tgdd.vn/Products/Images/9499/325884/adapter-sac-12w-ava-plus-dc01-thumb-600x600.jpg
