id_product,name_product,img
asus-vivobook-go-15-e1504fa-r5-nj776w,Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/311178/asus-vivobook-go-15-e1504fa-r5-nj776w-140225-100949-251-600x600.jpg
hp-15-fd0234tu-i5-9q969pa,HP 15 fd0234TU i5 1334U (9Q969PA),https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/323920/hp-15-fd0234tu-i5-9q969pa-170225-105831-192-600x600.jpg
dell-inspiron-15-3520-i5-n5i5057w1,Dell Inspiron 15 3520 i5 1235U (N5I5057W1),https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333886/dell-inspiron-15-3520-i5-n5i5057w1-638774726911323154-600x600.jpg
lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn,Lenovo IdeaPad Slim 3 15IRH10 i5 13420H (83K1000HVN),https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334442/lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn-638775478046964172-600x600.jpg
macbook-air-13-inch-m4-16gb-256gb,MacBook Air 13 inch M4 16GB/256GB,https://cdn.tgdd.vn/Products/Images/44/335362/macbook-air-13-inch-m4-vang-600x600.jpg
acer-aspire-go-ag15-31p-30m4-i3-nxkrpsv004,Acer Aspire Go AG15 31P 30M4 i3 N305 (NX.KRPSV.004),https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334997/acer-aspire-go-ag15-31p-30m4-i3-nxkrpsv004-thumb-638828183673538656-600x600.jpg
hp-15-fc0085au-r5-a6vv8pa,HP 15 fc0085AU R5 7430U (A6VV8PA),https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/327098/hp-15-fc0085au-r5-a6vv8pa-170225-110652-878-600x600.jpg
asus-vivobook-15-x1504va-i3-nj1634w,Asus Vivobook 15 X1504VA i3 1315U (NJ1634W),https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334792/asus-vivobook-15-x1504va-i3-nj1634w-thumb-638760891054481940-600x600.jpg
lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn,Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN),https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/325500/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn-thumb-638754862828598408-600x600.jpg
acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004,Acer Nitro V 15 ANV15 41 R2UP R5 6600H (NH.QPGSV.004),https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333430/acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004-638774737367845195-600x600.jpg
