id_product,name_product,description
vivo-y19s-pro-8gb,vivo Y19s Pro 8GB/128GB,Không có mô tả
honor-400,HONOR 400 5G 12GB/256GB,Không có mô tả
oppo-a5x-4gb-64gb,OPPO A5x 4GB/64GB,Không có mô tả
iphone-16-pro-max,iPhone 16 Pro Max 256GB,Xem thêm
iphone-16-pro,iPhone 16 Pro 128GB,Xem thêm
samsung-galaxy-s25-edge-5g-512gb,Samsung Galaxy S25 Edge 5G 12GB/512GB,"Samsung ra mắt Samsung Galaxy S25 Edge 512GB - chiếc smartphone siêu mỏng với thiết kế tinh tế, camera 200 MP chụp ảnh ấn tượng, khung Titan bền bỉ và khả năng kháng nước, bụi chuẩn IP68. Không chỉ đẹp và mạnh mẽ, Galaxy S25 Edge còn là lựa chọn lý tưởng cho những ai yêu công nghệ và phong cách. Mỏng nhẹ vượt trội, đẳng cấp Galaxy S mới Samsung Galaxy S25 Edge là chiếc Galaxy S mỏng nhất từ trước đến nay, chỉ 5.8 mm và nặng 163g. Thiết kế thanh mảnh, nhẹ nhàng giúp bạn cầm lâu vẫn thoải mái. Nhờ kích thước gọn gàng, bạn có thể dễ dàng bỏ máy vào túi áo hay ví nhỏ mà không bị cộm, cực kỳ tiện lợi cho cuộc sống bận rộn hằng ngày. Xem thêm"
samsung-galaxy-a56,Samsung Galaxy A56 5G 12GB/256GB,"Samsung Galaxy A56 là chiếc điện thoại hiện đại với thiết kế đẹp, bền bỉ và hiệu năng mạnh mẽ. Máy sở hữu camera sắc nét, pin lâu, cùng nhiều tính năng thông minh, giúp bạn làm việc, giải trí và kết nối dễ dàng. Đây là lựa chọn lý tưởng cho những ai cần một chiếc smartphone linh hoạt, đáp ứng tốt mọi nhu cầu hàng ngày. Tính năng AI thông minh, nâng tầm trải nghiệm Galaxy A56 5G được trang bị hàng loạt tính năng AI thông minh, giúp nâng tầm trải nghiệm người dùng lên một tầm cao mới. Tính năng khoanh tròn và tìm kiếm (Circle to Search with Google) cho phép bạn tìm kiếm thông tin nhanh chóng bằng cách khoanh vùng đối tượng trên màn hình. Xem thêm"
realme-c71-6gb,realme C71 6GB/128GB,Không có mô tả
xiaomi-redmi-note-14-pro,Xiaomi Redmi Note 14 Pro 8GB/256GB,Không có mô tả
oppo-find-n5,OPPO Find N5 5G 16GB/512GB,"OPPO Find N5 nổi bật với thiết kế gập siêu mỏng, chỉ 8.93 mm khi gập và 4.21 mm khi mở, cùng màn hình lớn 8.12 inch. Máy trang bị chip Snapdragon 8 Elite, viên pin 5600 mAh mỏng nhất thế giới, bản lề hợp kim titan bền bỉ và khả năng kháng nước IPX6, IPX8, IPX9. Đặc biệt, đây là điện thoại gập đầu tiên kết nối liền mạch với MacOS, mang đến trải nghiệm mạnh mẽ và linh hoạt. Thiết kế thanh lịch, cầm nắm gọn nhẹ OPPO Find N5 có thiết kế mỏng nhẹ, chỉ 8.93 mm khi gập và nặng 229g, giúp cầm nắm thoải mái và dễ dàng mang theo. Thiết kế thanh lịch không chỉ đẹp mắt mà còn tiện lợi, cho phép người dùng linh hoạt chuyển đổi giữa chế độ điện thoại và máy tính bảng. Nhờ sự kết hợp giữa tính di động và khả năng đa nhiệm, Find N5 mang đến trải nghiệm sử dụng linh hoạt, phù hợp với mọi nhu cầu hàng ngày. Xem thêm"
