id_product,name_product,img
vivo-y19s-pro-8gb,vivo Y19s Pro 8GB/128GB,https://cdn.tgdd.vn/Products/Images/42/338918/vivo-y19s-pro-bac-thumb-600x600.jpg
honor-400-5g-12gb-256gb-den,HONOR 400 5G 12GB/256GB Đen,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/42/339638/honor-400-5g-12gb-256gb-den-200625-074233-864-600x600.jpg
oppo-a5x-4gb-64gb,OPPO A5x 4GB/64GB,https://cdn.tgdd.vn/Products/Images/42/337846/dien-thoai-oppo-a5x-blue-thumb-600x600.jpg
iphone-16-pro-max,iPhone 16 Pro Max 256GB,https://cdn.tgdd.vn/Products/Images/42/329149/iphone-16-pro-max-sa-mac-thumb-1-600x600.jpg
iphone-16-pro,iPhone 16 Pro 128GB,https://cdn.tgdd.vn/Products/Images/42/329143/iphone-16-pro-titan-trang.png
samsung-galaxy-s25-edge-5g-512gb,Samsung Galaxy S25 Edge 5G 12GB/512GB,https://cdn.tgdd.vn/Products/Images/42/335955/TimerThumb/samsung-galaxy-s25-edge-5g-512gb-(8).jpg
samsung-galaxy-a56,Samsung Galaxy A56 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/334932/TimerThumb/samsung-galaxy-a56-(8).jpg
realme-c71,realme C71 4GB/128GB,https://cdn.tgdd.vn/Products/Images/42/337741/realme-c71-trang-thumb-600x600.jpg
xiaomi-redmi-note-14-pro,Xiaomi Redmi Note 14 Pro 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/320730/TimerThumb/xiaomi-redmi-note-14-pro-(74).jpg
oppo-find-n5,OPPO Find N5 5G 16GB/512GB,https://cdn.tgdd.vn/Products/Images/42/334938/TimerThumb/oppo-find-n5-(22).jpg
oppo-reno13-5g,OPPO Reno13 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/332934/TimerThumb/oppo-reno13-5g-(68).jpg
vivo-v50-lite-5g,vivo V50 Lite 5G 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/336408/TimerThumb/vivo-v50-lite-5g-(22).jpg
realme-14t-5g-8gb,realme 14T 5G 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/336619/TimerThumb/realme-14t-5g-8gb-(22).jpg
honor-x8c,HONOR X8c 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/335792/TimerThumb/honor-x8c-(22).jpg
tecno-spark-30,Tecno Spark 30 8GB/128GB,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/42/334969/tecno-spark-30-white-thumb-638761785148564781-600x600.jpg
masstel-s9?utm_flashsale=1,Masstel S9 6GB/256GB,https://cdn.tgdd.vn/Products/Images/42/336409/masstel-s9-gold-thumb-600x600.jpg
iphone-16-plus,iPhone 16 Plus 128GB,https://cdn.tgdd.vn/Products/Images/42/329138/iphone-16-plus-den-thumb-600x600.jpg
iphone-16,iPhone 16 128GB,https://cdn.tgdd.vn/Products/Images/42/329135/iphone-16-pink-600x600.png
samsung-galaxy-a06-5g-6gb-128gb,Samsung Galaxy A06 5G 6GB/128GB,https://cdn.tgdd.vn/Products/Images/42/335234/TimerThumb/samsung-galaxy-a06-5g-6gb-128gb-(8).jpg
samsung-galaxy-a36,Samsung Galaxy A36 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/334930/TimerThumb/samsung-galaxy-a36-(8).jpg
xiaomi-redmi-note-14-pro-plus,Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/320731/TimerThumb/xiaomi-redmi-note-14-pro-plus-(76).jpg
oppo-reno13-pro-5g,OPPO Reno13 Pro 5G 12GB/512GB,https://cdn.tgdd.vn/Products/Images/42/332937/TimerThumb/oppo-reno13-pro-5g-(68).jpg
oppo-reno13-f,OPPO Reno13 F 8GB/256GB,https://cdn.tgdd.vn/Products/Images/42/332935/TimerThumb/oppo-reno13-f-(58).jpg
realme-c75x,realme C75x 8GB/128GB,https://cdn.tgdd.vn/Products/Images/42/335307/TimerThumb/realme-c75x-(22).jpg
realme-14-5g,realme 14 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/336623/TimerThumb/realme-14-5g-(22).jpg
xiaomi-redmi-13x-6gb-128gb,Xiaomi Redmi 13x 6GB/128GB,https://cdn.tgdd.vn/Products/Images/42/335755/TimerThumb/xiaomi-redmi-13x-6gb-128gb-(40).jpg
honor-x9c-smart,HONOR X9c Smart 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/333480/TimerThumb/honor-x9c-smart-(64).jpg
samsung-galaxy-s25-ultra,Samsung Galaxy S25 Ultra 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/333347/TimerThumb/samsung-galaxy-s25-ultra-(68).jpg
iphone-16e,iPhone 16e 128GB,https://cdn.tgdd.vn/Products/Images/42/334864/iphone-16e-white-thumb-600x600.jpg
iphone-15,iPhone 15 128GB,https://cdn.tgdd.vn/Products/Images/42/281570/iphone-15-xanh-thumb-600x600.jpg
samsung-galaxy-z-fold6,Samsung Galaxy Z Fold6 5G 12GB/256GB,https://cdn.tgdd.vn/Products/Images/42/320721/TimerThumb/samsung-galaxy-z-fold6-(80).jpg
samsung-galaxy-a26-6gb-128gb,Samsung Galaxy A26 5G 6GB/128GB,https://cdn.tgdd.vn/Products/Images/42/335915/TimerThumb/samsung-galaxy-a26-6gb-128gb-(8).jpg
xiaomi-15,Xiaomi 15 5G 12GB/512GB,https://cdn.tgdd.vn/Products/Images/42/320336/TimerThumb/xiaomi-15-(24).jpg
xiaomi-15-ultra-trang,Xiaomi 15 Ultra 5G 16GB/512GB Trắng,https://cdn.tgdd.vn/Products/Images/42/334844/TimerThumb/xiaomi-15-ultra-trang-(22).jpg
oppo-a60-128gb,OPPO A60 8GB/128GB,https://cdn.tgdd.vn/Products/Images/42/323543/TimerThumb/oppo-a60-128gb-(78).jpg
