id_product,name_product,description,category,img
asus-vivobook-go-15-e1504fa-r5-nj776w,Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),"Laptop Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W) mang phong cách thiết kế sang trọng, hiệu năng mạnh mẽ cùng tính đa năng sử dụng, chắc chắn sẽ giúp bạn đáp ứng mọi tác vụ công việc và học tập hàng ngày một cách hiệu quả và chuyên nghiệp nhất. Thiết kế quen thuộc, kiểu cách sang trọng Kiểu dáng đã quá quen thuộc đến từ các dòng Vivobook nhà Asus, tuy vậy nhưng với thiết kế ngoại hình tối giản hiện đại như vậy, cá nhân mình lại nhận thấy cực kì phù hợp với xu hướng thời trang hiện nay. Laptop Asus vẫn giữ được nét thuần tuý với gam màu bạc sáng khá thu hút, vỏ được chế tác bằng nhựa nhưng lại rất cứng cáp, độ bền lại còn được đảm bảo chuẩn quân đội MIL STD 810H và các bề mặt được gia công ghép nối rất kĩ, nên mình chỉ việc trang bị thêm một chiếc túi chống sốc là có thể an tâm mang theo mọi nơi rồi. Xem thêm",laptop,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/311178/asus-vivobook-go-15-e1504fa-r5-nj776w-140225-100949-251-600x600.jpg
hp-15-fd0234tu-i5-9q969pa,HP 15 fd0234TU i5 1334U (9Q969PA),"Tích hợp tuyệt vời với đa dạng chế độ làm việc trong ngày, đẩy cao hiệu suất tư duy sáng tạo cũng như nâng hiệu quả công việc của bạn lên cao nhất với laptop HP 15 fd0234TU i5 1334U (9Q969PA), được tích hợp con chip Gen 13 hiện đại, khối lượng nhẹ nhàng cùng cấu trúc cực kì dễ dàng mang theo bên mình. • Bộ đôi hiệu năng ổn định Intel Core i5 1334U và card tích hợp Intel Iris Xe Graphics cho phép người dùng hoàn thành công việc văn phòng trên Word, chạy hàng trăm hàng tính toán trên Excel hay Sheet mà không bị giật lag gián đoạn, thậm chí người dùng cũng có thể làm việc hiệu quả đối với các phần mềm thiết kế hình ảnh, edit video cơ bản và chiến game nhẹ. • Với RAM 16 GB trên laptop bạn có thể mở nhiều tab trên trình duyệt, chạy nhiều chương trình cùng một lúc mà không bị chậm hay lag máy. Việc hỗ trợ nâng cấp lên đến cũng đảm bảo nhiều lượng tài nguyên hơn cho quá trình vận hành. Ổ cứng có khả năng đọc, ghi dữ liệu nhanh hơn so với các loại ổ cứng HDD cũ, khiến mọi thao tác đều trở nên mượt mà hơn. Xem thêm",laptop,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/323920/hp-15-fd0234tu-i5-9q969pa-170225-105831-192-600x600.jpg
dell-inspiron-15-3520-i5-n5i5057w1,Dell Inspiron 15 3520 i5 1235U (N5I5057W1),"Laptop Dell Inspiron 15 3520 i5 1235U (N5I5057W1) là laptop tầm trung lý tưởng cho văn phòng, học sinh, sinh viên và người dùng cần thiết bị linh hoạt cho công việc và giải trí. Với vi xử lý Intel Core i5 thế hệ 12, máy mang đến hiệu suất ổn định, khả năng đa nhiệm mượt mà và thiết kế gọn nhẹ, phù hợp cho mọi nhu cầu sử dụng hàng ngày. Thiết kế tối giản, độ bền ấn tượng Laptop được ""xây dựng"" với chất liệu nhựa cao cấp, bề mặt được hoàn thiện tỉ mỉ, giúp máy bền bỉ hơn trước các tác động nhẹ hoặc di chuyển. Khối lượng chỉ 1.66 kg, khiến việc di chuyển trở nên dễ dàng mà không gây cảm giác nặng nề, phù hợp cho người dùng làm việc suốt cả ngày. Xem thêm",laptop,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333886/dell-inspiron-15-3520-i5-n5i5057w1-638774726911323154-600x600.jpg
lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn,Lenovo IdeaPad Slim 3 15IRH10 i5 13420H (83K1000HVN),"Laptop Lenovo IdeaPad Slim 3 15IRH10 i5 13420H (83K1000HVN) là sự lựa chọn lý tưởng cho học sinh, sinh viên và nhân viên văn phòng nhờ sự kết hợp hoàn hảo giữa hiệu năng ổn định, thiết kế mỏng nhẹ và tính di động cao. Đây là người bạn đồng hành đáng tin cậy, đáp ứng tốt mọi nhu cầu từ học tập, làm việc đến giải trí, mang đến trải nghiệm sử dụng tuyệt vời trong tầm giá. Sức mạnh vượt trội, cân mọi tác vụ với chip Intel Core i5 thế hệ 13 ""Trái tim"" của chiếc laptop học tập - văn phòng này là bộ vi xử lý Intel Core i5 Raptor Lake - 13420H với 8 nhân và 12 luồng, tốc độ tối đa lên đến 4.6 GHz nhờ Turbo Boost. Sức mạnh này cho phép máy xử lý mượt mà các tác vụ văn phòng hàng ngày như soạn thảo văn bản, duyệt web, làm việc với bảng tính, cũng như các ứng dụng đồ họa nhẹ và giải trí đa phương tiện. Card đồ họa tích hợp cũng đủ sức đáp ứng nhu cầu xem phim, chơi game online nhẹ nhàng. Xem thêm",laptop,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334442/lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn-638775478046964172-600x600.jpg
macbook-air-13-inch-m4-16gb-256gb,MacBook Air 13 inch M4 16GB/256GB,"Không làm người dùng thất vọng, Apple đã cho ra mắt MacBook Air M4 16GB không chỉ là một chiếc laptop siêu mỏng nhẹ mà còn mang đến hiệu suất mạnh mẽ với chip Apple M4 và RAM 16 GB, cùng màn hình Liquid Retina rực rỡ và thời lượng pin ấn tượng. Sản phẩm này là sự lựa chọn hoàn hảo cho mọi nhu cầu, phù hợp cho cả người dùng văn phòng, sinh viên, đặc biệt là nhà sáng tạo nội dung, thiết kế đồ hoạ. Hiệu suất đồ họa ấn tượng Bộ vi xử lý Apple M4 được sản xuất trên tiến trình tiên tiến của Apple, giúp tối ưu hiệu suất và tiết kiệm năng lượng vượt trội. Với 10 nhân CPU, con chip này mang lại khả năng xử lý nhanh chóng và mượt mà cho mọi tác vụ, từ công việc văn phòng, lập trình, chỉnh sửa ảnh đến biên tập video. Xem thêm",laptop,https://cdn.tgdd.vn/Products/Images/44/335362/macbook-air-13-inch-m4-vang-600x600.jpg
acer-aspire-go-ag15-31p-30m4-i3-nxkrpsv004,Acer Aspire Go AG15 31P 30M4 i3 N305 (NX.KRPSV.004),"Laptop Acer Aspire Go AG15 31P 30M4 i3 N305 (NX.KRPSV.004) là một chiếc laptop sở hữu thiết kế gọn nhẹ, hiệu suất ổn định cùng màn hình lớn, đáp ứng hoàn hảo nhu cầu học tập, làm việc và giải trí nhẹ nhàng. Đây là lựa chọn lý tưởng cho sinh viên, nhân viên văn phòng hoặc những ai đang tìm kiếm một thiết bị đáng tin cậy với mức giá hợp lý. Sức mạnh tiềm ẩn bên trong vẻ ngoài thanh lịch Laptop Acer được trang bị CPU Intel Core i3 Alder Lake chuỗi N - N305 với 8 nhân và 8 luồng, cho phép xử lý mượt mà các tác vụ hàng ngày như soạn thảo văn bản, làm việc trên Excel, duyệt web hay tham gia các cuộc họp trực tuyến. Nhờ xung nhịp tối đa lên đến 3.8 GHz, hiệu năng của máy đủ để đảm bảo sự ổn định trong quá trình sử dụng mà vẫn tiết kiệm điện năng. Xem thêm",laptop,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334997/acer-aspire-go-ag15-31p-30m4-i3-nxkrpsv004-thumb-638828183673538656-600x600.jpg
hp-15-fc0085au-r5-a6vv8pa,HP 15 fc0085AU R5 7430U (A6VV8PA),"Nổi bật và quá thân quen trong phân khúc laptop học tập - văn phòng giá rẻ, chiếc laptop HP 15 fc0085AU R5 7430U (A6VV8PA) với cấu hình ổn định, vận hành hiệu quả mọi tác vụ từ làm việc đến giải trí đa phương tiện. Máy hội tụ đầy đủ các yếu tố để trở thành bạn trợ thủ lý tưởng cho người dùng. • Laptop HP với vi xử lý AMD Ryzen 5 - 7430U kết hợp cùng card AMD Radeon Graphics giúp đảm nhận mượt mà từ công việc văn phòng đến giải trí, giải quyết nhanh tài liệu với Microsoft Office và Google Docs. Hơn nữa, một số công việc như thiết kế đồ hoạ thông dụng với Adobe Photoshop, Figma,... • Bộ nhớ RAM 16 GB DDR4 đảm bảo khả năng đa nhiệm mượt mà, phù hợp cho công việc đòi hỏi nhiều tài nguyên như đa nhiệm nhiều cửa sổ công việc, thiết kế đồ hoạ cơ bản mà không lo giật lag, gián đoạn. Ổ cứng với dung lượng cung cấp không gian lưu trữ rộng rãi cho nhiều ứng dụng và tệp tin khác nhau. Xem thêm",laptop,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/327098/hp-15-fc0085au-r5-a6vv8pa-170225-110652-878-600x600.jpg
asus-vivobook-15-x1504va-i3-nj1634w,Asus Vivobook 15 X1504VA i3 1315U (NJ1634W),"Một chiếc laptop lý tưởng cho học tập và làm việc không chỉ cần hiệu năng mạnh mẽ mà còn phải có thiết kế tinh tế, hiện đại cùng mức giá hợp lý. Laptop Asus Vivobook 15 X1504VA i3 1315U (NJ1634W) chính là sự lựa chọn đáng tin cậy dành cho sinh viên và nhân viên văn phòng nhờ sự cân bằng hoàn hảo giữa hiệu suất và tính di động. Hiệu năng ổn định Sở hữu bộ vi xử lý Intel Core i3 1315U mạnh mẽ kết hợp cùng card đồ họa tích hợp Intel UHD Graphics, laptop Asus Vivobook mang đến hiệu năng vượt trội cho các công việc soạn thảo văn bản, xử lý số liệu trên Excel, ghi chú nhanh chóng và duyệt web mượt mà. Không chỉ vậy, người dùng cũng có thể chỉnh sửa ảnh cơ bản trên Photoshop, Canva hay giải trí với một số tựa game phổ thông mà không lo giật lag. Xem thêm",laptop,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334792/asus-vivobook-15-x1504va-i3-nj1634w-thumb-638760891054481940-600x600.jpg
acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004,Acer Nitro V 15 ANV15 41 R2UP R5 6600H (NH.QPGSV.004),"Lưu ý: Tất cả sản phẩm gaming dòng Nitro V và Predator khi mua hàng có hoá đơn từ ngày 01/01/2025 trở đi, thời gian bảo hành máy thay đổi từ 1 năm thành 2 năm. Bạn đang tìm kiếm một chiếc laptop không chỉ mạnh mẽ trong cấu hình mà còn đậm cá tính nhưng giá thành lại còn hợp lý. Laptop Acer Nitro V 15 ANV15 41 R2UP R5 6600H (NH.QPGSV.004) chính là lựa chọn hoàn hảo để nâng tầm trải nghiệm game và sáng tạo của bạn. Sở hữu thiết kế ấn tượng cùng hiệu năng vượt trội, chiếc laptop này hứa hẹn sẽ chinh phục cả những game thủ khó tính nhất. Sức mạnh ""khủng"" bên trong Acer Nitro V 15 – Chiến mọi tác vụ thiết kế, kỹ thuật Xem thêm",laptop,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333430/acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004-638774737367845195-600x600.jpg
lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn,Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN),"Trong thị trường laptop học tập - văn phòng, chiếc laptop Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN) nhanh chóng thu hút sự chú ý của người dùng bởi nhiều ưu điểm nổi bật. Chiếc laptop này hội tụ đầy đủ các yếu tố để trở thành người bạn đồng hành lý tưởng cho học sinh, sinh viên và nhân viên văn phòng, đáp ứng mọi nhu cầu học tập, làm việc và giải trí một cách hiệu quả. • So với các đối thủ cùng phân khúc, chiếc laptop Lenovo Ideapad này sở hữu cấu hình khá ấn tượng và mới mẻ, đáp ứng tốt mọi nhu cầu học tập, làm việc và giải trí cơ bản. Với bộ vi xử lý AMD Ryzen 5 7520U có 4 nhân, 8 luồng và tốc độ xung nhịp tối đa lên đến 4.3 GHz. Con chip này mang đến hiệu năng mạnh mẽ, xử lý mượt mà các tác vụ học tập, văn phòng phổ biến như Word, Excel, PowerPoint,... Xem thêm",laptop,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/325500/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn-thumb-638754862828598408-600x600.jpg
