id_product,name_product,img
huawei-watch-fit-4,Huawei Watch Fit 4 43mm dây silicone,https://cdn.tgdd.vn/Products/Images/7077/334436/huawei-watch-fit-4-den-tb-600x600.jpg
huawei-watch-fit-4-pro,Huawei Watch Fit 4 Pro 44.5mm dây silicone,https://cdn.tgdd.vn/Products/Images/7077/336947/huawei-watch-fit-4-pro-den-tb-600x600.jpg
huawei-watch-fit-4-pro-day-nylon,Huawei Watch Fit 4 Pro 44.5mm dây nylon,https://cdn.tgdd.vn/Products/Images/7077/338164/huawei-watch-fit-4-pro-nylon-tb-600x600.jpg
xiaomi-redmi-watch-5,Xiaomi Redmi Watch 5 47.5 mm dây TPU,https://cdn.tgdd.vn/Products/Images/7077/332069/xiaomi-redmi-watch-5-bac-tb-1-600x600.jpg
huawei-watch-gt-5-46mm-vien-thep-day-cao-su,Huawei Watch GT 5 46mm viền thép dây cao su,https://cdn.tgdd.vn/Products/Images/7077/330178/tb-600x600.jpg
huawei-watch-gt-5-pro-46mm-vien-titanium-day-cao-su,Huawei Watch GT 5 Pro 46mm viền Titanium dây cao su,https://cdn.tgdd.vn/Products/Images/7077/330173/huawei-watch-gt-5-pro-46mm-vien-titanium-day-cao-su-tb-600x600.jpg
huawei-watch-gt-5,Huawei Watch GT 5 41mm viền thép dây cao su,https://cdn.tgdd.vn/Products/Images/7077/329700/huawei-watch-gt-5-tb-600x600.jpg
huawei-watch-d2-day-cao-su,Huawei Watch D2 48mm dây cao su,https://cdn.tgdd.vn/Products/Images/7077/331078/huawei-watch-d2-day-cao-su-600x600.jpg
huawei-watch-gt-5-46mm-vien-thep-day-da,Huawei Watch GT 5 46mm viền thép dây da,https://cdn.tgdd.vn/Products/Images/7077/330177/huawei-watch-gt-5-46mm-vien-thep-day-da-tb-600x600.jpg
huawei-watch-gt-5-41mm-vien-thep-day-milanese,Huawei Watch GT 5 41mm viền thép dây Milanese,https://cdn.tgdd.vn/Products/Images/7077/334290/huawei-watch-gt-5-41mm-vien-thep-day-milanese-tb-600x600.jpg
huawei-watch-gt-5-41mm-vien-thep-day-da,Huawei Watch GT 5 41mm viền thép dây da,https://cdn.tgdd.vn/Products/Images/7077/330174/huawei-watch-gt-5-41mm-vien-thep-day-da-tb-600x600.jpg
huawei-watch-gt-5-46mm-vien-thep-day-woven,Huawei Watch GT 5 46mm viền thép dây Woven,https://cdn.tgdd.vn/Products/Images/7077/330176/huawei-watch-gt-5-46mm-vien-thep-day-woven-tb-600x600.jpg
huawei-watch-gt-5-pro-46mm-day-titanium,Huawei Watch GT 5 Pro 46mm viền Titanium dây Titanium,https://cdn.tgdd.vn/Products/Images/7077/330159/huawei-watch-gt-5-pro-46mm-day-titanium-tb-600x600.jpg
huawei-watch-gt-5-41mm-vien-thep-day-woven,Huawei Watch GT 5 41mm viền thép dây Woven,https://cdn.tgdd.vn/Products/Images/7077/330175/huawei-watch-gt-5-41mm-vien-thep-day-woven-tb-600x600.jpg
huawei-watch-gt-5-pro-42mm-vien-gom-day-cao-su,Huawei Watch GT 5 Pro 42mm viền gốm dây cao su,https://cdn.tgdd.vn/Products/Images/7077/330179/huawei-watch-gt-5-pro-41mm-vien-gom-day-cao-su-tb-600x600.jpg
huawei-watch-d2-day-da,Huawei Watch D2 48mm dây da,https://cdn.tgdd.vn/Products/Images/7077/331144/huawei-watch-d2-day-da-600x600.jpg
huawei-watch-gt-5-pro-42mm-vien-gom-day-gom,Huawei Watch GT 5 Pro 42mm viền gốm dây gốm,https://cdn.tgdd.vn/Products/Images/7077/330180/huawei-watch-gt-5-pro-41mm-vien-gom-day-gom-tb-600x600.jpg
apple-watch-s10,Apple Watch Series 10 42mm viền nhôm dây thể thao,https://cdn.tgdd.vn/Products/Images/7077/329153/apple-watch-s10-day-silicone-den-bong-tb-600x600.jpg
samsung-galaxy-watch7,Samsung Galaxy Watch7 40mm dây silicone,https://cdn.tgdd.vn/Products/Images/7077/327692/samsung-galaxy-watch7-40mm-kem-tn2-600x600.jpg
samsung-galaxy-watch7-44mm,Samsung Galaxy Watch7 44mm dây silicone,https://cdn.tgdd.vn/Products/Images/7077/327697/samsung-galaxy-watch7-44mm-bac-tn2-600x600.jpg
