id_product,name_product,img
tai-nghe-bluetooth-truyen-am-thanh-qua-khong-khi-havit-hakii-light,Tai nghe Havit Hakii Light,https://cdn.tgdd.vn/Products/Images/54/327984/tai-nghe-bluetooth-truyen-am-thanh-qua-xuong-havit-hakii-light-300724-041213-600x600.jpg
tai-nghe-bluetooth-true-wireless-oppo-enco-buds-3-pro-etek1,Tai nghe TWS OPPO ENCO Buds 3 Pro ETEK1,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/54/335184/tai-nghe-bluetooth-true-wireless-oppo-enco-buds-3-pro-etek1-030325-031613-396-600x600.jpg
tai-nghe-bluetooth-tws-xiaomi-redmi-buds-6-lite,Tai nghe TWS Xiaomi Redmi Buds 6 Lite,https://cdn.tgdd.vn/Products/Images/54/328697/tai-nghe-bluetooth-tws-xiaomi-redmi-buds-6-lite-200824-041041-600x600.jpg
tai-nghe-tws-jbl-wave-beam-2,Tai nghe TWS JBL Wave Beam 2,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/54/332455/tai-nghe-tws-jbl-wave-beam-2-150125-100004-092-600x600.jpg
tai-nghe-bluetooth-truyen-xuong-shokz-openswim-pro-s710,Tai nghe truyền xương Shokz OPENSWIM PRO S710,https://cdn.tgdd.vn/Products/Images/54/328282/tai-nghe-bluetooth-truyen-xuong-shokz-openswim-pro-s710-050824-015226-600x600.jpg
tai-nghe-bluetooth-chup-tai-jbl-tune-670nc,Tai nghe Chụp Tai JBL Tune 670NC,https://cdn.tgdd.vn/Products/Images/54/324580/tai-nghe-bluetooth-chup-tai-jbl-tune-670nc-xanh-thumb-600x600.jpg
tai-nghe-tws-alpha-works-aw-curve-200,Tai nghe TWS Alpha Works AW-Curve 200,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/54/333458/tai-nghe-tws-alpha-works-aw-curve-200-231224-041358-552-600x600.jpg
tai-nghe-bluetooth-true-wireless-rezo-k50?utm_flashsale=1,Tai nghe TWS Rezo K50,https://cdn.tgdd.vn/Products/Images/54/329299/tai-nghe-bluetooth-true-wireless-rezo-k50-040924-103457-600x600.jpg
tai-nghe-bluetooth-chup-tai-sony-wh-ch520,Tai nghe Chụp Tai Sony WH-CH520,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/54/313694/tai-nghe-bluetooth-chup-tai-sony-wh-ch520-210425-043507-151-600x600.jpg
tai-nghe-bluetooth-chup-tai-sony-wh1000xm5,Tai nghe Chụp Tai Sony WH1000XM5,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/54/313692/tai-nghe-bluetooth-chup-tai-sony-wh1000xm5-thumb-5-638633901487906497-600x600.jpg
tai-nghe-bluetooth-true-wireless-marshall-minor-iv,Tai nghe TWS Marshall Minor IV,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/54/325339/tai-nghe-bluetooth-true-wireless-marshall-minor-iv-260225-043222-385-600x600.jpg
